+1 1:0.177390 2:0.071875 3:0.227166 4:0.416666 5:0.217873 6:0.405064 7:0.000000 8:0.025611 9:1.245070 
+1 1:0.025756 2:0.024350 3:0.461780 4:0.174380 5:0.467495 6:0.180120 7:0.024866 8:0.182215 9:1.257483 
+1 1:0.201432 2:0.076175 3:0.321009 4:0.389641 5:0.115454 6:0.402466 7:0.038894 8:0.000000 9:1.282995 
+1 1:0.000000 2:0.038087 3:0.441388 4:0.077928 5:0.384848 6:0.321973 7:0.077788 8:0.203574 9:1.285943 
+1 1:0.167146 2:0.031605 3:0.332962 4:0.355652 5:0.031935 6:0.534340 7:0.096822 8:0.000000 9:1.196806 
+1 1:0.000000 2:0.094814 3:0.532740 4:0.032333 5:0.351277 6:0.333962 7:0.032274 8:0.168923 9:1.184661 
+1 1:0.000000 2:0.036229 3:0.419858 4:0.444762 5:0.109823 6:0.535967 7:0.000000 8:0.000000 9:1.356532 
+1 1:0.000000 2:0.000000 3:0.558901 4:0.108544 5:0.428830 6:0.411091 7:0.036117 8:0.000000 9:1.345102 
+1 1:0.168340 2:0.185676 3:0.307396 4:0.271357 5:0.214415 6:0.336348 7:0.054173 8:0.000000 9:1.428422 
+1 1:0.000000 2:0.052120 3:0.356912 4:0.213278 5:0.263318 6:0.302908 7:0.186282 8:0.167144 9:1.428870 
+1 1:0.109616 2:0.138177 3:0.363935 4:0.353396 5:0.139619 6:0.328525 7:0.105827 8:0.000000 9:1.372327 
+1 1:0.000000 2:0.103633 3:0.327541 4:0.141358 5:0.349048 6:0.365028 7:0.141104 8:0.110781 9:1.365925 
+1 1:0.109616 2:0.103633 3:0.400329 4:0.459415 5:0.279239 6:0.182514 7:0.000000 8:0.000000 9:1.425070 
+1 1:0.000000 2:0.000000 3:0.186301 4:0.289448 5:0.428830 6:0.411091 7:0.108348 8:0.113420 9:1.421934 
+1 1:0.118580 2:0.196185 3:0.324795 4:0.315389 5:0.226551 6:0.296154 7:0.057241 8:0.000000 9:1.405887 
+1 1:0.000000 2:0.024757 3:0.365148 4:0.227940 5:0.300181 6:0.287763 7:0.151687 8:0.185253 9:1.459888 
+1 1:0.123229 2:0.087378 3:0.337532 4:0.387350 5:0.294295 6:0.276992 7:0.029743 8:0.000000 9:1.429680 
+1 1:0.000000 2:0.057132 3:0.300947 4:0.263008 5:0.375227 6:0.332034 7:0.087511 8:0.122144 9:1.429578 
+1 1:0.151075 2:0.114262 3:0.331040 4:0.496793 5:0.346363 6:0.090555 7:0.000000 8:0.000000 9:1.423061 
+1 1:0.000000 2:0.029126 3:0.122738 4:0.297961 5:0.500302 6:0.338545 7:0.059485 8:0.186809 9:1.413018 
+1 1:0.167146 2:0.158022 3:0.366259 4:0.323320 5:0.191606 6:0.333962 7:0.000000 8:0.000000 9:1.442100 
+1 1:0.000000 2:0.000000 3:0.358628 4:0.189950 5:0.312689 6:0.359705 7:0.158008 8:0.165404 9:1.442345 
+1 1:0.039279 2:0.148541 3:0.391230 4:0.379901 5:0.225136 6:0.313924 7:0.037922 8:0.000000 9:1.431233 
+1 1:0.000000 2:0.037135 3:0.312984 4:0.227940 5:0.375227 6:0.392405 7:0.151687 8:0.039697 9:1.427115 
+1 1:0.109616 2:0.103633 3:0.436723 4:0.353396 5:0.244334 6:0.255520 7:0.035276 8:0.000000 9:1.422368 
+1 1:0.000000 2:0.035368 3:0.260821 4:0.253268 5:0.357359 6:0.411091 7:0.108348 8:0.113420 9:1.409023 
+1 1:0.000000 2:0.000000 3:0.337532 4:0.297961 5:0.235437 6:0.400099 7:0.178455 8:0.093405 9:1.346706 
